Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,1uF,C_0402_1005Metric,45.600000,-34.000000,90.000000,top
C2,100nF,C_0402_1005Metric,47.900000,-38.500000,90.000000,top
C3,1uF,C_0402_1005Metric,47.900000,-36.700000,90.000000,top
C4,47uF,C_0603_1608Metric,48.000000,-34.100000,180.000000,top
C5,47uF,C_0603_1608Metric,50.600000,-31.300000,270.000000,top
C6,10uF,C_0402_1005Metric,58.600000,-35.100000,180.000000,top
C7,100nF,C_0402_1005Metric,50.400000,-29.300000,180.000000,top
D1,D_Schottky,D_SOD-123,46.200000,-37.200000,270.000000,top
LS1,Speaker,MLT_7525,55.300000,-30.600000,180.000000,top
R1,10k,R_0402_1005Metric,56.700000,-35.100000,0.000000,top
R2,10k,R_0402_1005Metric,48.800000,-32.800000,0.000000,top
R3,10k,R_0402_1005Metric,54.800000,-35.100000,0.000000,top
R4,10k,R_0402_1005Metric,50.000000,-27.900000,90.000000,top
U1,W25Q32JVSS,SOIC-8_5.23x5.23mm_P1.27mm,43.100000,-29.900000,270.000000,top
U5,STM32G031GxU,Package_QFN_ST_ST_UFQFPN-28_4x4mm_P0.5mm,50.700000,-37.100000,0.000000,top
